flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars,amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
  Disha Experts,9386323567, Quick General Knowledge 2018 with Current Affairs update 2nd Edition,988,50,4.2,Quick General Knowledge 2018 with Current Affairs Update,by Disha Experts,3.4,90,9386323567,37
  unknown,9384761141, Lucent's General Science,1903,183,4.2,Lucent's General Science (2018-2019) Session,Not Available,4.1 out of 5 stars,220,9384761141,150
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
  unknown,9386629771, AIIMS General Knowledge with Logical Thinking,305,123,4.2,AIIMS General Knowledge with Logical Thinking with Monthly Current Affairs Update...,by Disha Experts,3.8,19,9386629771,120
  Editorial Board,9350571099, Children's Encyclopedia - The World of Knowledge,99,975,4.2,Children's Encyclopedia - The World of Knowledge: Familiarising Children with...,by V&S Editorial Board,4,112,9350571099,643
  Sanjeev Kumar,9384761168, Samany Hindi,327,150,4.2,Lucents Samanya Hindi : Pratiyogi Parikshaon Ke Leye,,4.2,33,9384761168,190
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
  Kosambi Damodar Dharmanand,9386042215, An Introduction to the Study of Indian History,17,342,4.2,An Introduction to the Study of Indian History,by Damodar Dharmanand Kosambi,4.4,12,9386042215,300
  Bond Ruskin,8129112558, The Ruskin Bond Horror Omnibus,59,238,4.2,The Ruskin Bond Horror Omnibus,by Ruskin Bond,4,7,8129112558,395
  Bhagat Chetan,8129142147, One Indian Girl,37246,112,4.2,One Indian Girl,Chetan Bhagat,3.6 out of 5 stars,"4,929",8129142147,96
  unknown,9312148885, Indian Navy Secondary SSR Guide 2018,556,138,4.2,Indian Navy Secondary SSR Guide 2018,by Arihant Experts,4,24,9312148885,138
  Shahi Sumrit,8129134853, Never Kiss Your Best Friend,684,113,4.2,Never Kiss your Best Friend,by Sumrit Shahi - Import,4.4,108,8129134853,101
  Shahi Sumrit,8129134853, Never Kiss Your Best Friend,684,113,4.2,Never Kiss your Best Friend,by Sumrit Shahi - Import,4.4,108,8129134853,101
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
  Bhagat Chetan,8129142147, One Indian Girl,37246,112,4.2,One Indian Girl,Chetan Bhagat,3.6 out of 5 stars,"4,929",8129142147,96
  Panel of Experts,9387504999, Oswaal ISC Question Bank Class 12 Eng Lit. Paper 2 For Mar 2019 Exam (Chapterwise & Topicwise),21,180,4.2,Oswaal ISC Question Bank Class 12 English Papers 2 Literature Chapterwise and...,by Oswaal Editorial Board,4.1,7,9387504999,169
  Khare Pulkit,9351410226, Essays for Civil Services and Other Competitive Examinations,985,72,4.2,ESSAYS for Civil Services and Other Competitive Examinations,by Pulkit Khare,3.9,167,9351410226,65
  Namrata Singh' and  ' Anita Jain' and  ' Archana Gupta,9387672662, Together with CBSE/NCERT Practice Material of Social Science Class 10 for 2019 Examination,162,359,4.2,Together with CBSE/NCERT Practice Material Chapterwise for Class 10 Social Science...,by Namrata Singh,3.8,26,9387672662,329
  Ghosh Bishwanath,9386224984, Gazing at Neighbours - Travels Along the Line That Partitioned India,35,218,4.2,Gazing at Neighbours: Travels Along the Line That Partitioned India,by Bishwanath Ghosh,4.5,32,9386224984,195
  D. Ray D. Strand. M.,8183221629, What Your Doctor Doesn't Know About Nutritional Medicine May be Killing You,39,150,4.2,What Your Doctor Doesn'T Know About Nutritional Medicine May beKilling You,by Ray D. Strand. M.D.,4.1,23,8183221629,150
  Swami Rama,8183222714, Living With the Himalayan Masters,35,232,4.2,Living With the Himalayan Masters,by Swami Rama,4.9,18,8183222714,232
  Driscoll Teresa,1542046599, I Am Watching You,41,269,4.2,I Am Watching You,by Teresa Driscoll,4,46,1542046599,269
  Sanghi Ashwin,9381626685, The Krishna Key,3236,230,4.2,The Krishna Key: Book 3 in the Bharat Series of Historical and Mythological Thrillers,by Ashwin Sanghi,4.1,636,9381626685,230
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
  Zaidi S. Hussain,9350295725, Headley And I,46,280,4.2,Headley And I,by S. Hussain Zaidi,3.5,14,9350295725,247
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
  Dreamland Publications,9350896540, My Baby Record Book,48,175,4.2,My Baby Record Book,by Dreamland Publications,4.4,117,9350896540,175
  unknown,9312148885, Indian Navy Secondary SSR Guide 2018,556,138,4.2,Indian Navy Secondary SSR Guide 2018,by Arihant Experts,4,24,9312148885,138
  Sharma Devanshi,9382665846, No Matter What I Do - I End Up Falling for You,475,100,4.2,No Matter What I Do: I end up Falling for You,by Devanshi Sharma,4.2,216,9382665846,88
  Garg Sachin,8192222667, It's First Love!,733,144,4.2,First Love!...Just Like the Last One!,by Sachin Garg,3.9,87,8192222667,140
  Shenoy Preeti,9383260688, The One You Cannot Have,1785,180,4.2,The One You Cannot Have,by Preeti Shenoy,4.1,381,9383260688,189
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
  unknown,9384761141, Lucent's General Science,1903,183,4.2,Lucent's General Science (2018-2019) Session,Not Available,4.1 out of 5 stars,220,9384761141,150
  Disha Experts,9388026764, 19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise Solved Papers (2018 - 2000) with 4 Online Practice Sets 5th Edition,46,189,4.2,19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise...,by Disha Experts,3.8,5,9388026764,175
  unknown,9312140329, Ctet & Tets Previous Year' Solved Papers Mathematics & Science Class vi-VIII,356,149,4.2,CTET & TETs Previous Year' Solved papers Mathematics & Science Class VI-VIII,by Arihant Experts,3.5,28,9312140329,122
  unknown,9350944308, Handbook of Computer Science & it,950,120,4.2,Handbook of Computer Science & IT,by Surbhi Mitra,3.9,193,9350944308,190
  unknown,9311130796, Social Science & Pedagogy for CTET & TETs Class VI-VIII,140,138,4.2,Social Science & Pedagogy for CTET & TETs Class VI-VIII,by Arihant Experts,4.3,9,9311130796,136
  Disha Experts,9388026365, Science With Past Olympiad Questions for Class 5 Third Edition,25,114,4.2,Olympiad Champs Science Class 5 with Past Olympiad Questions,by Disha Experts,5,1,9388026365,109
  Gurukul Books,9387660451, 10 Last Years Solved Papers (HSC) - Science - Maharashtra Board Class 12 for 2019 Examination,22,695,4.2,10 Last Years Solved Papers (HSC) - Science: Maharashtra Board Class 12 for 2019...,by Oswal Publishers,4.7,4,9387660451,565
  Byrne Rhonda,1471172392, The Secret,1395,373,4.2,The Secret,by Rhonda Byrne,4.5,1610,1471172392,538
  Dixit Sudhir,8183220185, Time Management,302,99,4.2,Time Management (Hindi),by Sudhir Dixit,4.4,416,8183220185,71
  Hay Louise L.,9381431922, Mirror Work,32,280,4.2,Mirror Work: 21 Days to Heal Your Life,by Louise L. Hay,4.5,41,9381431922,210
  unknown,9311130796, Social Science & Pedagogy for CTET & TETs Class VI-VIII,140,138,4.2,Social Science & Pedagogy for CTET & TETs Class VI-VIII,by Arihant Experts,4.3,9,9311130796,136
  Namrata Singh' and  ' Anita Jain' and  ' Archana Gupta,9387672662, Together with CBSE/NCERT Practice Material of Social Science Class 10 for 2019 Examination,162,359,4.2,Together with CBSE/NCERT Practice Material Chapterwise for Class 10 Social Science...,by Namrata Singh,3.8,26,9387672662,329
