flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars,amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
  Editorial Board,9387958477, Xam Idea Economic Class 12,35,365,4.6,Xam Idea Economics Class 12 for 2019 Exam,by VK Global Publications Pvt. Ltd.,3.1,4,9387958477,390
  unknown,9382616977, India After Gandhi - The History of the World's Largest Democracy - The History of the World's Largest Democracy,1117,477,4.6,India After Gandhi: The History of the World's Largest Democracy,by Ramachandra Guha,4.5,232,9382616977,477
  Kochhar Anup,9352015789, The Failure Project the Story of Man's Greatest Fear,8,287,4.6,The Failure Project: The Story of Man's Greatest Fear,by Kochhar,4.1,8,9352015789,231
  DK,1409323498, The Animal Book,5,563,4.6,The Animal Book: A Visual Encyclopedia of Life on Earth (Reference),by DK,4.8,19,1409323498,781
  Bejan Daruwalla,9353024226, Horoscope 2019: Your Complete Forecast- Scorpio,5,61,4.6,"Horoscope 2019: Your Complete Forecast, Scorpio",by Bejan Daruwalla,4,1,9353024226,74
  unknown,9313163802, Prep Guide to Bitsat 2019,84,490,4.6,Prep Guide To BITSAT 2019,by Arihant Expert,4.1,19,9313163802,497
  Paul Kalanithi,1847923674, When Breath Becomes Air,1873,332,4.6,When Breath Becomes Air,by Paul Kalanithi,4.6,626,1847923674,332
  Vasudev Sadhguru Jaggi,9386867508, Emotion & Relationships,1150,159,4.6,Emotion and Relationships,Sadhguru,4.7 out of 5 stars,124,9386867508,138
  Manu S. Pillai,9351776425, The Ivory Throne,371,468,4.6,Ivory Throne: Chronicles of the House of Travancore,by Manu S. Pillai,4.3,127,9351776425,433
  J. K. Rowling,1408855658, Harry Potter and the Philosopher's Stone,5577,234,4.6,Harry Potter and the Philosopher's Stone,by J.K. Rowling,4.7,1097,1408855658,299
  J. K. Rowling,1408855658, Harry Potter and the Philosopher's Stone,5577,234,4.6,Harry Potter and the Philosopher's Stone,by J.K. Rowling,4.7,1097,1408855658,299
  J. K. Rowling,1408855674, Harry Potter and the Prisoner of Azkaban,3250,314,4.6,Harry Potter and the Prisoner of Azkaban (Harry Potter 3),by J.K. Rowling,4.4,474,1408855674,374
  Geronimo Stilton,9352751183, The Dragon of Fortune - An Epic Kingdom of Fantasy Adventures,1132,510,4.6,The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition...,by Geronimo Stilton,4.6,285,9352751183,510
  Tripathi Amish,9381626340, The Secret of the Nagas,6674,244,4.6,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1681,9381626340,244
  Paulo Coelho,8172234988, ALCHEMIST,16859,209,4.6,The Alchemist,Paulo Coelho,4.6 out of 5 stars,"3,820",8172234988,182
  Tripathi Amish,9386224585, Sita,7022,226,4.6,Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817,9386224585,226
  Leo Tolstoy,8184950314, Greatest Short Stories of Leo Tolstoy,214,184,4.6,The Greatest Short Stories of Leo Tolstoy,by Leo Tolstoy,4.5,173,8184950314,189
  Nagarkar Sudeep,9385990004, She Friend-Zoned My Love,1429,112,4.6,She Friend - Zoned My Love,by Sudeep Nagarkar,4.6,248,9385990004,112
  Tripathi Amish,9381626340, The Secret of the Nagas,6674,244,4.6,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1681,9381626340,244
  Gates Tom,9351033015, Everything's Amazing (Sort of),166,221,4.6,Tom Gates Book #3: Everythings Amazing,by Tom Gates,4.8,55,9351033015,157
 ,1879505622, In the Blink of an Eye,65,679,4.6,In the Blink of An Eye: 2nd Edition,by Walter Murch,4.3,28,1879505622,829
  Ray Satyajit,9351360016, Deep Focus,168,198,4.6,Deep Focus: Reflections on Cinema,by Satyajit Ray,4.5,30,9351360016,188
  ROBIN SHARMA,9387944891, The 5 AM Club : Own Your Morning- Elevate Your Life,895,210,4.6,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3 out of 5 stars,143,9387944891,199
  Paul Kalanithi,1847923674, When Breath Becomes Air,1873,332,4.6,When Breath Becomes Air,by Paul Kalanithi,4.6,626,1847923674,332
  Chiplunkar Suman K.,8190587447, Mudras & Health Perspectives,69,285,4.6,Mudras & Health Perspectives: An Indian Approach: 12 New Mudras including Kubera...,by Suman K. Chiplunkar,4.4,78,8190587447,299
  Vasudev Sadhguru Jaggi,9386867508, Emotion & Relationships,1150,159,4.6,Emotion and Relationships,Sadhguru,4.7 out of 5 stars,124,9386867508,138
  Karan Thapar,9352779843, Devil's Advocate,108,417,4.6,Devil's Advocate: The Untold Story,by Karan Thapar,4.1,70,9352779843,370
  Halan Monika,9352779398, Lets Talk Money:,138,248,4.6,"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",by Monika Halan,4.5,85,9352779398,367
  Sadhguru' and  ' Arundhathi Subramaniam,9352643925, Adiyogi,1377,178,4.6,Adiyogi: The Source of Yoga,by Sadhguru,4.6,376,9352643925,178
  Dahiya Poonam Dalal,9352603451, Ancient and Medieval India,3498,380,4.6,Ancient and Medieval India,by Poonam Dalal Dahiya,4.5,330,9352603451,342
  unknown,9382616977, India After Gandhi - The History of the World's Largest Democracy - The History of the World's Largest Democracy,1117,477,4.6,India After Gandhi: The History of the World's Largest Democracy,by Ramachandra Guha,4.5,232,9382616977,477
  unknown,9353160235, Modern Indian History With A Primer On Post Independence Ind - With a Primer On Post Independence India,497,530,4.6,Modern Indian History: For Civil Services Preliminary and Main Examinations,by Sonali Bansal,4.4,94,9353160235,473
  Subramaniam Arjun,9351777499, India's Wars,113,473,4.6,"India's Wars: A Military History, 1947-1971",by Arjun Subramaniam,4.5,38,9351777499,415
  Nitin Singhania,9387067548, Indian Art and Culture - For Civil Services Preliminary and Main Examinations Second Edition,5444,390,4.6,Indian Art and Culture,by Nitin Singhania,4.5,391,9387067548,412
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6,Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",8173711461,194
  Cameron W. Bruce,1509855947, A Dog's Way Home,52,319,4.6,A Dog's Way Home: The Heartwarming Story of the Special Bond Between Man and...,by W. Bruce Cameron,5,4,1509855947,399
  Stephen King,1444707868, It,763,216,4.6,It,by Stephen King,4.4,113,1444707868,224
  Paramahansa Yogananda,8190256203, Autobiography of a Yogi (Complete Edition),653,195,4.6,Autobiography of a Yogi (Complete Edition),by Paramahansa Yogananda - Illustrated,4.6,1265,8190256203,179
  Gates Tom,9351033015, Everything's Amazing (Sort of),166,221,4.6,Tom Gates Book #3: Everythings Amazing,by Tom Gates,4.8,55,9351033015,157
  Srilal Sukla,8126713968, Raag Darbari,474,227,4.6,Rag Darbari,by Shrilal Shukla,4.5,141,8126713968,200
  Yuval Noah Harari,1910701882, Homo Deus - A Brief History of Tomorrow,127,573,4.6,Homo Deus (Special Collector’s Editions in Full Colour): A Brief History of Tomorrow,by Yuval Noah Harari,4.5,304,1910701882,300
  Nitin Singhania,9387067548, Indian Art and Culture - For Civil Services Preliminary and Main Examinations Second Edition,5444,390,4.6,Indian Art and Culture,by Nitin Singhania,4.5,391,9387067548,412
  Tripathi Amish,9381626340, The Secret of the Nagas,6674,244,4.6,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1681,9381626340,244
  Tripathi Amish,9386224585, Sita,7022,226,4.6,Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817,9386224585,226
  Menon Vivek,9350097605, Indian Mammals,324,777,4.6,Indian Mammals: A Field Guide,by Vivek Menon,4.8,159,9350097605,775
  Dahiya Poonam Dalal,9352603451, Ancient and Medieval India,3498,380,4.6,Ancient and Medieval India,by Poonam Dalal Dahiya,4.5,330,9352603451,342
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6,Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",8173711461,194
  unknown,9353160235, Modern Indian History With A Primer On Post Independence Ind - With a Primer On Post Independence India,497,530,4.6,Modern Indian History: For Civil Services Preliminary and Main Examinations,by Sonali Bansal,4.4,94,9353160235,473
  Subramaniam Arjun,9351777499, India's Wars,113,473,4.6,"India's Wars: A Military History, 1947-1971",by Arjun Subramaniam,4.5,38,9351777499,415
  Subramaniam Arjun,9351777499, India's Wars,113,473,4.6,"India's Wars: A Military History, 1947-1971",by Arjun Subramaniam,4.5,38,9351777499,415
  A P J Abdul Kalam,8129124912, My Journey - Transforming Dreams into Actions,3580,112,4.6,My Journey: Transforming Dreams into Actions,by A.P.J. Abdul Kalam,4.7,587,8129124912,180
  Robert Greene,1861972784, The 48 Laws Of Power,529,699,4.6,The 48 Laws Of Power (The Robert Greene Collection),by Robert Greene,4.4,137,1861972784,643
  ROBIN SHARMA,9387944891, The 5 AM Club : Own Your Morning- Elevate Your Life,895,210,4.6,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3 out of 5 stars,143,9387944891,199
  Halan Monika,9352779398, Lets Talk Money:,138,248,4.6,"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",by Monika Halan,4.5,85,9352779398,367
 ,9350642344, Sidharth,30,125,4.6,Sidharth,by Hermann Hesse,4.3,69,9350642344,104
  Paulo Coelho,8172234988, ALCHEMIST,16859,209,4.6,The Alchemist,Paulo Coelho,4.6 out of 5 stars,"3,820",8172234988,182
  J. K. Rowling,1408855658, Harry Potter and the Philosopher's Stone,5577,234,4.6,Harry Potter and the Philosopher's Stone,by J.K. Rowling,4.7,1097,1408855658,299
  Dahiya Poonam Dalal,9352603451, Ancient and Medieval India,3498,380,4.6,Ancient and Medieval India,by Poonam Dalal Dahiya,4.5,330,9352603451,342
  A P J Abdul Kalam,8129124912, My Journey - Transforming Dreams into Actions,3580,112,4.6,My Journey: Transforming Dreams into Actions,by A.P.J. Abdul Kalam,4.7,587,8129124912,180
  Menon Vivek,9350097605, Indian Mammals,324,777,4.6,Indian Mammals: A Field Guide,by Vivek Menon,4.8,159,9350097605,775
  Subramaniam Arjun,9351777499, India's Wars,113,473,4.6,"India's Wars: A Military History, 1947-1971",by Arjun Subramaniam,4.5,38,9351777499,415
  Paul Kalanithi,1847923674, When Breath Becomes Air,1873,332,4.6,When Breath Becomes Air,by Paul Kalanithi,4.6,626,1847923674,332
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6,Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",8173711461,194
  Karan Thapar,9352779843, Devil's Advocate,108,417,4.6,Devil's Advocate: The Untold Story,by Karan Thapar,4.1,70,9352779843,370
  Manu S. Pillai,9351776425, The Ivory Throne,371,468,4.6,Ivory Throne: Chronicles of the House of Travancore,by Manu S. Pillai,4.3,127,9351776425,433
  Oliver Sacks,1447275403, The Man Who Mistook His Wife for a Hat,60,388,4.6,The Man Who Mistook His Wife for a Hat: Picador Classic,by Oliver Sacks,4.3,35,1447275403,311
  A P J Abdul Kalam,8129124912, My Journey - Transforming Dreams into Actions,3580,112,4.6,My Journey: Transforming Dreams into Actions,by A.P.J. Abdul Kalam,4.7,587,8129124912,180
  Kuldip Nayar,9350292203, WITHOUT FEAR - PB,557,186,4.6,Without Fear,by Kuldip Nayar,4.7,95,9350292203,170
  Pranab Mukherjee,8129149052, THE COALITION YEARS,207,331,4.6,The Coalition Years,by Pranab Mukherjee,3.6,39,8129149052,325
  Subramaniam Arjun,9351777499, India's Wars,113,473,4.6,"India's Wars: A Military History, 1947-1971",by Arjun Subramaniam,4.5,38,9351777499,415
  Kurien Verghese,8174364072, I Too Had a Dream,365,350,4.6,I Too had a Dream,by Verghese Kurien,4.7,123,8174364072,295
  Vijay Lokapally,9385936263, Driven,542,320,4.6,Driven: The Virat Kohli Story,by Vijay Lokapally,4.4,81,9385936263,299
  Tiwari Prateeksha M.,8128824287, Corporate Guru Dhirubhai Ambani,44,101,4.6,Corporate Guru Dhirubhai Ambani,by Prateeksha M. Tiwari,3.3,18,8128824287,101
  J. K. Rowling,1408855658, Harry Potter and the Philosopher's Stone,5577,234,4.6,Harry Potter and the Philosopher's Stone,by J.K. Rowling,4.7,1097,1408855658,299
  J. K. Rowling,1408855674, Harry Potter and the Prisoner of Azkaban,3250,314,4.6,Harry Potter and the Prisoner of Azkaban (Harry Potter 3),by J.K. Rowling,4.4,474,1408855674,374
  Halan Monika,9352779398, Lets Talk Money:,138,248,4.6,"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",by Monika Halan,4.5,85,9352779398,367
  ROBIN SHARMA,9387944891, The 5 AM Club : Own Your Morning- Elevate Your Life,895,210,4.6,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3 out of 5 stars,143,9387944891,199
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6,Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",8173711461,194
  Peterson Bryan,1607748509, Understanding Exposure- Fourth Edition,18,633,4.6,"Understanding Exposure, Fourth Edition",by BRYAN PETERSON,4.5,48,1607748509,633
 ,1879505622, In the Blink of an Eye,65,679,4.6,In the Blink of An Eye: 2nd Edition,by Walter Murch,4.3,28,1879505622,829
  Menon Vivek,9350097605, Indian Mammals,324,777,4.6,Indian Mammals: A Field Guide,by Vivek Menon,4.8,159,9350097605,775
  Franta Connor,1471163571, Note to Self,202,436,4.6,Note to Self,by Connor Franta,4.5,53,1471163571,490
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6,Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",8173711461,194
  A P J Abdul Kalam,9352643836, Pathways to Greatness,483,156,4.6,Pathways to Greatness,by A.P.J. Abdul Kalam,4.7,13,9352643836,165
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6,Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",8173711461,194
  Tushar A. Gandhi' and  ' Shashi Tharoor' and  ' Paranjoy Guha Thakurta' and  ' Avik Sarkar,8193769716, Manorama Yearbook 2019 First Edition,1126,228,4.6,Manorama Yearbook 2019 ( English),Not Available,4.5 out of 5 stars,37,8193769716,228
  unknown,9352831810, Chemistry for Class 10 - Includes Model Test Papers as Per the Latest Marking Scheme,945,381,4.6,Chemistry for Class 10 (2019 Exam),by Lakhmir Singh,4.2,81,9352831810,381
  DK,1409323498, The Animal Book,5,563,4.6,The Animal Book: A Visual Encyclopedia of Life on Earth (Reference),by DK,4.8,19,1409323498,781
  Manu S. Pillai,9351776425, The Ivory Throne,371,468,4.6,Ivory Throne: Chronicles of the House of Travancore,by Manu S. Pillai,4.3,127,9351776425,433
  ETS,9352607376, The Official Guide to the GRE General Test Third Edition,586,805,4.6,The Official Guide to the GRE General Test,by ETS,4.2,47,9352607376,895
  Sadhguru' and  ' Arundhathi Subramaniam,9352643925, Adiyogi,1377,178,4.6,Adiyogi: The Source of Yoga,by Sadhguru,4.6,376,9352643925,178
  Dawkins Richard,1784161926, The God Delusion,245,414,4.6,The God Delusion,by Richard Dawkins - Special Edition,4.4,163,1784161926,414
  Yukteswar Giri,8189535196, The Only Science,83,104,4.6,The Holy Science,by Swami Sri Yukteswar Giri,4.6,156,8189535196,75
  Devdutt Pattanaik,9352641957, Shiva to Shankara,104,215,4.6,Shiva to Shankara: Giving Form to the Formless,by Devdutt Pattanaik,4.4,27,9352641957,227
  Sadhguru,8184953089, Of Mystics & Mistakes,105,246,4.6,Of Mystics & Mistakes,by Sadhguru,4.5,52,8184953089,235
  Devdutt Pattanaik,9353332303, RAMAYANA VERSUS MAHABHARATA - My Playful Comparison,101,178,4.6,Ramayana Versus Mahabharata: My Playful Comparison,by Devdutt Pattanaik,4.2,28,9353332303,221
  Rangarajan T. T.,8183225705, Unposted Letter,874,218,4.6,Unposted Letter,by Mahatria Ra,4.7,248,8183225705,218
  Krishnamurti J.,1846042135, Freedom from the Known,169,195,4.6,Freedom from the Known,by J Krishnamurti,4.6,86,1846042135,213
  S. Radhakrishnan,8172238983, BHAGAVADGITA,172,280,4.6,The Bhagavadgita,by S. Radhakrishnan,4.2,40,8172238983,295
  Nagarkar Sudeep,9385990004, She Friend-Zoned My Love,1429,112,4.6,She Friend - Zoned My Love,by Sudeep Nagarkar,4.6,248,9385990004,112
  unknown,9352831810, Chemistry for Class 10 - Includes Model Test Papers as Per the Latest Marking Scheme,945,381,4.6,Chemistry for Class 10 (2019 Exam),by Lakhmir Singh,4.2,81,9352831810,381
  Panel of Experts,9388036662, Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),350,133,4.6,Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),Oswaal Editorial Board,4.3 out of 5 stars,30,9388036662,127
  Disha Experts,9388026292, Olympiad Champs Science Class 3 with Past Olympiad Questions 3rd Edition,22,126,4.6,Olympiad Champs Science Class 3 with Past Olympiad Questions,by Disha Experts,5,2,9388026292,139
  Paulo Coelho,8172234988, ALCHEMIST,16859,209,4.6,The Alchemist,Paulo Coelho,4.6 out of 5 stars,"3,820",8172234988,182
  ROBIN SHARMA,9387944891, The 5 AM Club : Own Your Morning- Elevate Your Life,895,210,4.6,"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3 out of 5 stars,143,9387944891,199
  Vasudev Sadhguru Jaggi,9386867508, Emotion & Relationships,1150,159,4.6,Emotion and Relationships,Sadhguru,4.7 out of 5 stars,124,9386867508,138
  Rangarajan T. T.,8183225705, Unposted Letter,874,218,4.6,Unposted Letter,by Mahatria Ra,4.7,248,8183225705,218
  Nitin Singhania,9387067548, Indian Art and Culture - For Civil Services Preliminary and Main Examinations Second Edition,5444,390,4.6,Indian Art and Culture,by Nitin Singhania,4.5,391,9387067548,412
  Ryan Holiday,1781257019, Ego is the Enemy,146,389,4.6,Ego is the Enemy,by Ryan Holiday,4.5,66,1781257019,421
  Pandey D. C.,9312147188, Understanding Physics for Jee Main & Advanced Electricity & Magnetism,983,327,4.6,Understanding Physics for JEE Main & Advanced Electricity & Magnetism,by DC Pandey,4.3,73,9312147188,277
  Sadhguru' and  ' Arundhathi Subramaniam,9352643925, Adiyogi,1377,178,4.6,Adiyogi: The Source of Yoga,by Sadhguru,4.6,376,9352643925,178
  Navanath Lokhande' and  ' Jack Canfield,8183225039, How to Get from Where You are to Where You Want to Be - The 25 Principles of Success,16,265,4.6,How to Get From Where You Are to Where You Want to be,by Jack Canfield,4.4,8,8183225039,255
  Yukteswar Giri,8189535196, The Only Science,83,104,4.6,The Holy Science,by Swami Sri Yukteswar Giri,4.6,156,8189535196,75
  Paul Kalanithi,1847923674, When Breath Becomes Air,1873,332,4.6,When Breath Becomes Air,by Paul Kalanithi,4.6,626,1847923674,332
  Karan Thapar,9352779843, Devil's Advocate,108,417,4.6,Devil's Advocate: The Untold Story,by Karan Thapar,4.1,70,9352779843,370
  Krishnamurti J.,1846042135, Freedom from the Known,169,195,4.6,Freedom from the Known,by J Krishnamurti,4.6,86,1846042135,213
  Tripathi Amish,9381626340, The Secret of the Nagas,6674,244,4.6,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1681,9381626340,244
  Robert Greene,1861972784, The 48 Laws Of Power,529,699,4.6,The 48 Laws Of Power (The Robert Greene Collection),by Robert Greene,4.4,137,1861972784,643
  Pattanaik Devdutt,9386224046, 7 Secrets of Shiva,131,244,4.6,7 Secrets of Shiva,by Devdutt Pattanaik,4.3,397,9386224046,244
  Rajan Raghuram G.,9352770145, I Do What I Do,2416,436,4.6,I Do What I Do,by Raghuram G. Rajan,4.3,313,9352770145,363
  Srilal Sukla,8126713968, Raag Darbari,474,227,4.6,Rag Darbari,by Shrilal Shukla,4.5,141,8126713968,200
  Sardesai Rajdeep,9386228483, Democracy's XI,198,447,4.6,Democracy's XI: The Great Indian Cricket Story,by Rajdeep Sardesai,2.4,63,9386228483,458
  DK,1405344377, Strength Training,13,719,4.6,"Strength Training: The Complete Step-by-Step Guide to a Stronger, Sculpted Body...",by DK,4.8,8,1405344377,664
  unknown,8129141841, The Man-Eating Leopard of Rudraprayag,37,155,4.6,The Man Eating Leopard of Rudraprayag,by Jim Corbett - Import,4.7,72,8129141841,140
  Vijay Lokapally,9385936263, Driven,542,320,4.6,Driven: The Virat Kohli Story,by Vijay Lokapally,4.4,81,9385936263,299
  Esther Duflo' and  ' Abhijit V. Banerjee,8184002807, Poor Economics: Rethinking Poverty & the Ways to End it,177,465,4.6,Poor Economics: Rethinking Poverty & the Ways to End it,by Abhijit V. Banerjee,4.5,46,8184002807,419
  Arihant Experts,9313166461, Solved Papers for Manipal Engineering 2018,10,257,4.6,Solved Papers for Manipal Engineering 2018,by Arihant Experts,5,2,9313166461,307
  Tiwari Arun,8173711461, Wings of Fire,16362,265,4.6,Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",8173711461,194
  Tripathi Amish,9386224585, Sita,7022,226,4.6,Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817,9386224585,226
  J. K. Rowling,1408855674, Harry Potter and the Prisoner of Azkaban,3250,314,4.6,Harry Potter and the Prisoner of Azkaban (Harry Potter 3),by J.K. Rowling,4.4,474,1408855674,374
  Paulo Coelho,8172234988, ALCHEMIST,16859,209,4.6,The Alchemist,Paulo Coelho,4.6 out of 5 stars,"3,820",8172234988,182
  Menon Vivek,9350097605, Indian Mammals,324,777,4.6,Indian Mammals: A Field Guide,by Vivek Menon,4.8,159,9350097605,775
  Paul Kalanithi,1847923674, When Breath Becomes Air,1873,332,4.6,When Breath Becomes Air,by Paul Kalanithi,4.6,626,1847923674,332
  Manu S. Pillai,9351776425, The Ivory Throne,371,468,4.6,Ivory Throne: Chronicles of the House of Travancore,by Manu S. Pillai,4.3,127,9351776425,433
  Sadhguru' and  ' Arundhathi Subramaniam,9352643925, Adiyogi,1377,178,4.6,Adiyogi: The Source of Yoga,by Sadhguru,4.6,376,9352643925,178
  Robin Banerjee,9351500616, Who Cheats and How?: Scams- Fraud and the Dark Side of the Corporate World - Scams- Fraud and the Dark Side of the Corporate World,11,360,4.6,"Who Cheats and How?: Scams, Frauds and the Dark Side of the Corporate World:...",by Robin Banerjee,3.5,17,9351500616,360
  J. K. Rowling,1408855658, Harry Potter and the Philosopher's Stone,5577,234,4.6,Harry Potter and the Philosopher's Stone,by J.K. Rowling,4.7,1097,1408855658,299
  Victoria Aveyard,1409150747, Glass Sword,112,196,4.6,Glass Sword (Red Queen),by Victoria Aveyard,4,25,1409150747,196
  DK,1409323498, The Animal Book,5,563,4.6,The Animal Book: A Visual Encyclopedia of Life on Earth (Reference),by DK,4.8,19,1409323498,781
  J. K. Rowling,1408855674, Harry Potter and the Prisoner of Azkaban,3250,314,4.6,Harry Potter and the Prisoner of Azkaban (Harry Potter 3),by J.K. Rowling,4.4,474,1408855674,374
  James Dashner,9351039684, The Scorch Trials,180,234,4.6,The Maze Runner #02 Scorch Trials Movie Tie-in,by James Dashner,3.9,56,9351039684,247
  unknown,9386041901, Tom Gates #10,94,237,4.6,Tom Gates #10: Super Good Skills (Almost . . .),by NILL,4.4,24,9386041901,213
  Herge,1405206195, King Ottokar's Sceptre - King Ottokar's Sceptre,128,399,4.7,The adventures of Tintin: King Ottokar's Sceptre,by Herge,4.6,32,1405206195,379
  J. K. Rowling,1408855666, Harry Potter and the Chamber of Secrets,3839,374,4.7,Harry Potter and the Chamber of Secrets (Harry Potter 2),by J.K. Rowling,4.7,562,1408855666,374
  Neil Gaiman,1526602067, Norse Mythology,105,319,4.7,Norse Mythology,by Neil Gaiman,4.4,108,1526602067,299
  Thich Nhat Hanh,1846045096, The Art of Living,26,425,4.7,The Art of Living,by Thich Nhat Hanh,4.5,2,1846045096,434
  Bhanumathi Narasimhan,9386850575, Gurudev - On the Plateau of the Peak - The Life of Sri Sri Ravi Shankar,60,327,4.7,Gurudev: On the Plateau of the Peak: The Life of Sri Sri Ravi Shankar,by Bhanumathi Narasimhan,4.9,330,9386850575,293
  Arihant Experts,9313169886, Current Affairs Yearly 2019,9,124,4.7,Current Affairs Yearly  2019,Not Available,5.0 out of 5 stars,3,9313169886,124
  Ganguly Sourav,9386228564, Century Is Not Enough,2653,434,4.7,A Century is not Enough: My Roller-coaster Ride to Success,by Sourav Ganguly - Illustrated,4.6,322,9386228564,363
  Bond Ruskin,9386338904, Lone Fox Dancing - My Autobiography,135,450,4.7,Lone Fox Dancing: My Autobiography,by Ruskin Bond,4.8,99,9386338904,315
  Bhanumathi Narasimhan,9386850575, Gurudev - On the Plateau of the Peak - The Life of Sri Sri Ravi Shankar,60,327,4.7,Gurudev: On the Plateau of the Peak: The Life of Sri Sri Ravi Shankar,by Bhanumathi Narasimhan,4.9,330,9386850575,293
  Harvard Business Review,1422157970, HBR's 10 Must Reads on Leadership,30,563,4.7,HBR's 10 Must Reads: On Leadership (Harvard Business Review Must Reads),by HBR,4.8,14,1422157970,600
  Noah Trevor,1473635306, Born A Crime,224,299,4.7,Born a Crime: Stories from a South African Childhood,by Trevor Noah,4.8,143,1473635306,388
  J. K. Rowling,1408855682, Harry Potter and the Goblet of Fire,2751,524,4.7,Harry Potter and the Goblet of Fire (Harry Potter 4),by J.K. Rowling,4.7,322,1408855682,524
  Johnson,1847396488, Peaks and Valleys,50,109,4.7,Peaks and Valleys,by Spencer Johnson,4.4,28,1847396488,109
  Russell Rachel Renee,1471168018, Dork Diaries: Crush Catastrophe - Tales From a not - so - fabulous Life,169,191,4.7,Dork Diaries,by Rachel Renee Russell,4.6,49,1471168018,202
  Rachna Sagar Expart Panal,9387984532, EAD 15+1 CBSE Sample papers for class 12 Economics for 2019 examination,18,156,4.7,EAD 15+1 cbse sample papers for class 12 Economics for 2019 examination,by Rachna Sagar,3,2,9387984532,189
  Marks Howard,9353022797, The most important thing,22,238,4.7,The Most Important Thing: Uncommon Sense for The Thoughtful Investor,by Howard Marks - Import,4.7,30,9353022797,238
  Murkoff Heidi E.,1471147533, What to Expect When You're Expecting 5th Edition,149,510,4.7,What to Expect When You're Expecting,by Heidi Murkoff,4.4,71,1471147533,521
  Murkoff Heidi E.,1471147533, What to Expect When You're Expecting 5th Edition,149,510,4.7,What to Expect When You're Expecting,by Heidi Murkoff,4.4,71,1471147533,521
  J. K. Rowling,1408855666, Harry Potter and the Chamber of Secrets,3839,374,4.7,Harry Potter and the Chamber of Secrets (Harry Potter 2),by J.K. Rowling,4.7,562,1408855666,374
  J. K. Rowling,1408855666, Harry Potter and the Chamber of Secrets,3839,374,4.7,Harry Potter and the Chamber of Secrets (Harry Potter 2),by J.K. Rowling,4.7,562,1408855666,374
  Murugan Perumal,9386850494, Poonachi Or The Story of a Black Goat,224,288,4.7,Poonachi: Or the Story of a Black Goat,by Perumal Murugan,4.5,121,9386850494,114
  Ray Satyajit,8125015655, Our Films- Their Films,77,435,4.7,Our Films Their Films (Disha),by Ray,4.7,14,8125015655,371
  Arihant Experts,9313169886, Current Affairs Yearly 2019,9,124,4.7,Current Affairs Yearly  2019,Not Available,5.0 out of 5 stars,3,9313169886,124
  D. Patel Kamlesh,9386850567, The Heartfulness Way - Heart - Based Meditations for Spiritual Transformation,479,189,4.7,The Heartfulness Way: Heart-Based Meditations for Spiritual Transformation,by Kamlesh D. Patel,4.9,605,9386850567,189
  Dr. Bichu Mandar V.,8179918564, New Age Parenting and Child Health Handbook - New Age Parenting and Child - Health Handbook,3,395,4.7,Right Parenting: New Age Parenting and Child-Health Handbook,by Mandar V. Bichu,5,1,8179918564,370
